match_id,liga,home,away,inicio_local,actualizado,1x2_home,1x2_away,1x2_draw,hdp_home_1.25,hdp_away_-1.25,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,goles_tt_home_0.5_over,goles_tt_home_0.5_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_total_10.0_over,corners_total_10.0_under,corners_home_3.5_over,corners_home_3.5_under,corners_away_5.5_over,corners_away_5.5_under,hdp_home_-0.25,hdp_away_0.25,goles_2.25_over,goles_2.25_under,goles_1.25_over,goles_1.25_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_9.5_over,corners_total_9.5_under,corners_home_4.5_over,corners_home_4.5_under,corners_away_3.5_over,corners_away_3.5_under,hdp_home_-1.25,hdp_away_1.25,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,corners_home_5.5_over,corners_home_5.5_under,corners_away_2.5_over,corners_away_2.5_under,hdp_home_-0.5,hdp_away_0.5,hdp_home_-0.75,hdp_away_0.75,corners_total_10.5_over,corners_total_10.5_under,hdp_home_0.25,hdp_away_-0.25,corners_away_4.5_over,corners_away_4.5_under,hdp_home_-1.75,hdp_away_1.75,goles_tt_home_2.5_over,goles_tt_home_2.5_under,corners_home_7.5_over,corners_home_7.5_under,hdp_home_0.5,hdp_away_-0.5,goles_3.0_over,goles_3.0_under,goles_2.0_over,goles_2.0_under,hdp_home_0.0,hdp_away_-0.0,hdp_home_-1.0,hdp_away_1.0,corners_home_6.5_over,corners_home_6.5_under,hdp_home_-2.5,hdp_away_2.5,goles_3.75_over,goles_3.75_under,goles_tt_home_3.5_over,goles_tt_home_3.5_under,goles_1.0_over,goles_1.0_under,hdp_home_-2.0,hdp_away_2.0,goles_4.5_over,goles_4.5_under,goles_3.5_over,goles_3.5_under,corners_total_11.0_over,corners_total_11.0_under,hdp_home_1.0,hdp_away_-1.0,goles_3.25_over,goles_3.25_under,goles_tt_away_2.5_over,goles_tt_away_2.5_under,hdp_home_0.75,hdp_away_-0.75,corners_total_11.5_over,corners_total_11.5_under,hdp_home_-2.25,hdp_away_2.25,corners_total_12.0_over,corners_total_12.0_under,corners_away_6.5_over,corners_away_6.5_under,hdp_home_-1.5,hdp_away_1.5,hdp_home_1.75,hdp_away_-1.75
1634444744,Serie A,Juventus,Parma,2026-08-29 14:45,2026-08-28 15:39:35,1.237,12.73,6.39,,,,,,,,,,,,,,,,,,,,,,,,,2.25,1.6536,,,,,,,,,1.8772,1.9901,1.2695,3.88,,,2.01,1.7576,,,,,2.28,1.6061,,,,,1.9709,1.9174,2.24,1.6623,2.12,1.6711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634112877,Ligue 1,Olympique Lyon,Le Havre,2026-08-29 14:45,2026-08-28 15:37:31,1.5076,6.54,4.52,,,,,,,,,,,,,,,,,,,,,,,1.5988,2.39,1.6944,2.2,,,,,2.05,1.7246,,,2.0,1.885,1.2994,3.68,,,,,,,,,2.27,1.5988,,,,,,,,,,,,,,,,,,,1.8333,2.09,2.06,1.7092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634107490,Ligue 1,Brest,Toulouse,2026-08-29 14:45,2026-08-28 15:37:40,2.69,2.68,3.47,,,2.0,1.8929,1.3067,3.63,,,2.47,1.565,,,,,,,,,,,,,2.57,1.5291,,,,,1.8333,1.9346,,,,,,,,,,,,,,,,,2.52,1.5,,,1.9615,1.8197,,,,,,,,,,,,,1.9524,1.9434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634112961,Ligue 1,Lorient,Troyes,2026-08-29 14:45,2026-08-28 15:37:48,1.8772,4.43,3.62,,,2.08,1.8264,1.339,3.4,,,,,2.61,1.4545,,,,,,,,,,,2.02,1.8264,1.5587,2.49,,,1.8197,1.9434,1.6944,2.09,,,,,,,,,,,1.885,2.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634444747,La Liga,Sevilla,Atletico Madrid,2026-08-29 15:30,2026-08-28 14:35:52,3.76,2.07,3.5,,,1.9615,1.9259,1.3012,3.67,1.4329,2.89,2.09,1.7692,,,,,,,,,,,,,,,,,,,1.9901,1.7752,,,,,,,,,,,,,,,,,2.44,1.5291,,,1.8772,1.8929,,,,,,,1.8403,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634440437,Premier League,Sunderland,Fulham,2026-08-30 09:00,2026-08-28 15:36:30,2.46,3.07,3.33,,,2.08,1.8264,1.3322,3.44,,,2.87,1.4386,,,,,,,2.11,1.813,,,,,2.46,1.5714,,,,,1.641,2.17,,,,,,,,,,,,,,,,,2.31,1.5917,,,1.9434,1.8197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634164706,Ligue 1,Paris FC,Nice,2026-08-30 09:00,2026-08-28 15:37:07,2.09,3.78,3.44,,,2.06,1.8403,1.3311,3.45,,,,,,,,,,,,,,,,,2.17,1.7194,1.4587,2.8,,,,,,,,,,,,,2.15,1.6536,,,2.1,1.8264,,,2.24,1.6135,,,1.9615,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634440436,Premier League,Chelsea,Brighton Hove,2026-08-30 09:00,2026-08-28 15:36:15,1.8333,4.05,4.11,,,,,,,,,2.76,1.4673,,,,,,,,,,,,,1.7092,2.19,,,,,,,,,,,,,,,1.9174,1.8475,,,1.8403,2.08,,,,,,,2.09,1.6897,,,,,,,,,2.05,1.8475,1.2801,3.85,,,,,,,,,,,,,,,,,,,,,2.44,1.5291,,,,,,,,,,,,,,,,,,,,
1634444752,Premier League,Leeds United,Brentford,2026-08-30 09:00,2026-08-28 15:35:54,2.64,2.77,3.42,,,1.9524,1.9346,1.2924,3.74,,,2.55,1.5348,,,,,,,,,,,,,2.46,1.5714,,,,,,,,,,,,,,,2.19,1.6289,,,,,,,,,,,1.8264,1.9346,,,,,,,,,,,,,1.9009,2.0,,,,,,,,,,,,,,,,,,,2.44,1.5291,,,,,,,,,,,,,,,,,,,,
1632358432,Bundesliga,Freiburg,Werder Bremen,2026-08-30 09:30,2026-08-28 14:35:13,1.9174,4.05,3.74,,,,,,,,,,,,,,,,,,,,,,,1.8475,1.9901,1.4065,3.01,,,,,1.6667,2.13,,,1.9804,1.9091,1.2849,3.8,2.09,1.6944,,,1.9259,1.9804,,,2.42,1.5263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
